ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809.0,Male,No,22.0,No,Healthcare,1.0,Low,4.0,Cat_4,D
462643.0,Female,Yes,38.0,Yes,Engineer,,Average,3.0,Cat_4,A
466315.0,Female,Yes,67.0,Yes,Engineer,1.0,Low,1.0,Cat_6,B
461735.0,Male,Yes,67.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
462669.0,Female,Yes,40.0,Yes,Entertainment,,High,6.0,Cat_6,A
461319.0,Male,Yes,56.0,No,Artist,0.0,Average,2.0,Cat_6,C
460156.0,Male,No,32.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
464347.0,Female,No,33.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
465015.0,Female,Yes,61.0,Yes,Engineer,0.0,Low,3.0,Cat_7,D
465176.0,Female,Yes,55.0,Yes,Artist,1.0,Average,4.0,Cat_6,C
464041.0,Female,No,26.0,Yes,Engineer,1.0,Low,3.0,Cat_6,A
464942.0,Male,No,19.0,No,Healthcare,4.0,Low,4.0,Cat_4,D
461230.0,Female,No,19.0,No,Executive,0.0,Low,,Cat_3,D
459573.0,Male,Yes,70.0,No,Lawyer,,Low,1.0,Cat_6,A
460849.0,Female,Yes,58.0,No,Doctor,0.0,Low,1.0,Cat_3,B
460563.0,Female,No,41.0,No,Healthcare,1.0,Low,2.0,Cat_1,C
466865.0,Female,No,32.0,No,Homemaker,9.0,Low,5.0,Cat_3,D
461644.0,Male,No,31.0,No,Healthcare,1.0,Low,6.0,Cat_6,B
466772.0,Male,Yes,58.0,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
464291.0,Female,Yes,79.0,Yes,Artist,0.0,High,1.0,Cat_6,C
466084.0,Male,Yes,49.0,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
459675.0,Female,No,18.0,No,Healthcare,3.0,Low,4.0,Cat_6,D
465602.0,Male,Yes,33.0,Yes,Artist,13.0,Low,2.0,Cat_3,A
459168.0,Female,No,36.0,Yes,Artist,5.0,Low,2.0,Cat_6,B
461021.0,Female,,58.0,No,Executive,1.0,Average,3.0,Cat_3,B
465083.0,Male,Yes,56.0,No,Artist,1.0,Average,3.0,Cat_6,C
467604.0,Male,No,31.0,No,Healthcare,9.0,Low,8.0,Cat_4,A
459717.0,Male,Yes,49.0,Yes,Artist,1.0,Average,3.0,Cat_6,C
465882.0,Male,No,35.0,Yes,Artist,0.0,Low,1.0,Cat_6,B
